incidente,latitud,longitud,codigo_cierre,clas_con_f_alarma
Robo-Vehiculo con Violencia,19.33493,-99.10883,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.274841,-98.998781,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.54827,-99.15572988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37745999,-99.19370988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49078997,-99.20751984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.46703996,-99.13142988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.368979,-99.186305,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.41815997,-99.11715984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.162052,-98.990615,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.5303,-99.139488,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.357873,-99.229781,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37640996,-99.18749988,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.45167003,-99.10653012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37965,-99.049969,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48631004,-99.07065,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.337167,-99.042766,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.40382999,-99.07758,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.316721,-99.262706,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.484903,-99.20015,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.478952,-99.204526,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.33253001,-99.05798988,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.52051004,-99.13798008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.52019999,-99.13564008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.38404997,-99.09298008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34235999,-99.19076004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35099999,-99.14847984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35323001,-99.15185988,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47735999,-99.11730996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37518002,-99.05518008,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.33709004,-99.00405,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35158004,-99.15144984,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.328065,-99.075217,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.44594,-99.10672992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37384001,-99.05239008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37412,-99.18063,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37240001,-99.22971996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.30001004,-99.171,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34953002,-99.16179012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48745997,-99.09036,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49339997,-99.11491992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.32697998,-99.06909012,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36926,-99.12232008,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.40741001,-99.06931008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.473429,-99.078117,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.41321996,-99.07949016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.31582,-99.062882,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.25272998,-99.15810984,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35663003,-99.08655984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.45348002,-99.06203988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.24750998,-99.01887984,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.498304,-99.068701,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49828004,-99.06864012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.25792001,-99.10798992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.452316,-99.219732,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.24315002,-99.10117008,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.290149,-99.161033,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49196996,-99.17901,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.31432004,-99.26890992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37273004,-99.00704016,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.30516002,-99.26841996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.3806,-99.05141988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.38220002,-99.11981016,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.24338996,-99.10249992,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36715004,-99.16215012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.30390002,-99.07575012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.22652999,-99.22629996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.38606003,-99.06023988,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.54688004,-99.14398992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.42074999,-99.08421984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.28547999,-99.1917,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.29624003,-99.07801992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37168001,-99.08024004,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.342332,-98.991497,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.42200999,-99.05582016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49735997,-99.07814988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47427002,-99.21461004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.518879,-99.124362,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.51784001,-99.14312016,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.390575,-99.046822,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37592999,-99.12408012,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.351065,-99.074562,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.45373004,-99.18376992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.28375001,-99.16538004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.26993996,-99.15591996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.28387997,-99.16588008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.33520004,-98.9883,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.40667003,-99.14230008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.29285999,-99.16909992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.526269,-99.140419,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.29285999,-99.16909992,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34516997,-98.99588016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.27121004,-99.23978016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.38608001,-99.16112016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47630996,-99.15032016,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49565996,-99.09574992,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36484001,-99.18993996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.30364001,-99.05801004,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47463002,-99.06455016,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.509887,-99.100052,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.44216,-99.17219988,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.55270997,-99.13654008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37592999,-99.12408012,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.31252004,-99.11112012,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.45853001,-99.21017988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.490143,-99.194572,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37754999,-99.18853992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34736003,-99.12629016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.42875,-99.05362992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48734,-99.20819988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.28629998,-99.22271004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.32751998,-99.15477012,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.342731,-99.083267,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.32184998,-99.05308992,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.44669996,-99.13875984,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.28098998,-99.23699988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.41951996,-99.16809984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.27404,-98.99667,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39562001,-99.16670016,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.311092,-99.110982,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47738996,-99.08915004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.326097,-99.028767,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.43992998,-99.15575004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.44074997,-99.08862012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47699999,-99.11301012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48744998,-99.09250992,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.54555002,-99.14504004,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48602996,-99.07341012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49970996,-99.07886988,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.46993004,-99.13367988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.50933996,-99.09066996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48985001,-99.09047988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.44521001,-99.18061992,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39564998,-99.18131004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.53881001,-99.14838984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47373002,-99.08161992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36593,-99.02481984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.32989004,-99.03272004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.25616996,-99.10730016,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37429001,-99.21098988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.51466,-99.135186,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39273002,-99.17271,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48047003,-99.06616008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.501525,-99.080148,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.55224998,-99.15109992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48674996,-99.07205004,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.52039997,-99.14212008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.33755003,-99.09694008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49470002,-99.18825012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.46135997,-99.12169008,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.32959997,-99.16395984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.29157002,-99.13893012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.42129998,-99.21447,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.473429,-99.078117,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.33597998,-99.05450004,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.55466,-99.12868992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39775004,-99.07530012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37175003,-99.12252996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36769004,-99.03168,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.29969,-99.07562988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35045,-99.08097984,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.53089001,-99.14421996,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.42579998,-99.10383012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.26728001,-99.17520984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35168003,-99.23892984,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39437999,-99.11082996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39578003,-99.18154008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.45287,-99.18461988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.53089001,-99.14421996,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37349999,-99.10788012,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.494183,-99.095421,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.32422004,-99.14724,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.45515996,-99.20337984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34845,-99.100239,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35072999,-99.05055984,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.27420002,-99.15458004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36748997,-99.23715,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.355217,-99.02804,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.42477,-99.1134275,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.304363,-99.059172,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39087998,-99.06711012,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.50621003,-99.14853996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39780998,-99.16292988,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34352999,-99.10280016,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.38646998,-99.05418,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.29284001,-99.22952016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.38646998,-99.05418,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.38287997,-99.14937984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49722002,-99.06703992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.17694998,-99.03143016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.33502004,-99.02067012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.46169,-99.11570004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.38185001,-99.03234996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.52901,-99.14211,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.28184003,-99.12444984,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.45284003,-99.21981996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.33441002,-99.11198016,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.329077,-99.047619,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36166004,-99.09545004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.26611001,-99.15908004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.331142,-99.027056,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.28375001,-99.16538004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.31428998,-99.26831988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.44452889,-99.17407556,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34317998,-99.04070016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.40133996,-99.20459988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.45964997,-99.11464992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49280003,-99.09821988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34728002,-98.99303004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35669996,-99.07104996,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.51067997,-99.12413016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48314996,-99.06923988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.353266,-99.244559,A,DELITO DE ALTO IMPACTO
